1,Bitcoin,BTC,None,47096.95,18786143 BTC,31211354441.65,0.43,-1.46,5.70
2,Ethereum,ETH,None,3265.44,117107210 ETH,19860862132.76,0.64,-1.71,3.43
3,Cardano,ADA,None,2.19,32112216582 ADA,7965959273.87,0.48,2.60,49.03
4,Binance Coin,BNB,None,409.03,168137036 BNB *,2023364347.67,0.61,-0.46,14.98
5,Tether,USDT,None,1.00,63246734131 USDT *,76879764304.11,0.01,0.03,0.02
6,XRP,XRP,None,1.28,46417606117 XRP *,12107814480.27,-1.24,17.47,56.86
7,Dogecoin,DOGE,None,0.2931,130854498193 DOGE,4677579996.88,1.25,2.20,12.59
8,USD Coin,USDC,None,1,27709926557 USDC *,2254426890.17,0.00,0.04,0.01
9,Polkadot,DOT,None,22.86,986116826 DOT *,1618443546.19,0.98,0.65,9.03
10,Uniswap,UNI,None,30.14,587423116 UNI *,481398153.01,0.28,-1.43,6.93
11,Bitcoin Cash,BCH,None,689.11,18817769 BCH,2487216104.76,3.00,5.38,18.18
12,Solana,SOL,None,44.11,286295394 SOL *,363834257.49,1.05,-1.74,11.95
13,Litecoin,LTC,None,182.71,66752615 LTC,2425228533.91,1.29,-0.31,17.22
14,Chainlink,LINK,None,27.16,446009554 LINK *,1130955981.98,1.12,-2.08,10.25
15,Binance USD,BUSD,None,0.9999,12004514553 BUSD *,4947235992.69,0.00,0.03,0.02
16,Polygon,MATIC,None,1.44,6458576924 MATIC *,1077737165.32,0.79,-4.72,23.64
17,Stellar,XLM,None,0.395,23514031242 XLM *,1425323552.08,3.75,9.71,28.99
18,Wrapped Bitcoin,WBTC,None,47081.77,195123 WBTC *,176407714.25,0.39,-1.55,5.90
19,Internet Computer,ICP,None,64.28,136899214 ICP *,501930983.64,1.84,-5.60,3.95
20,Ethereum Classic,ETC,None,67.08,128936895 ETC,4127859988.10,1.79,4.43,10.82
21,VeChain,VET,None,0.1301,64315576989 VET *,1362841692.90,-0.83,7.82,25.71
22,THETA,THETA,None,7.22,1000000000 THETA *,391030038.51,1.07,0.94,4.16
23,Terra,LUNA,None,17.40,411766693 LUNA *,283231425.52,0.46,-2.24,19.29
24,Filecoin,FIL,None,72.53,96300085 FIL,855022864.14,0.07,-2.67,4.74
25,TRON,TRX,None,0.09266,71659657369 TRX *,1470697878.44,1.03,3.62,23.29
26,Dai,DAI,None,1.00,5946835456 DAI *,392951236.26,0.04,-0.07,-0.01
27,Aave,AAVE,None,414.49,12949015 AAVE *,319804529.73,0.81,-3.03,7.88
28,EOS,EOS,None,5.49,956057817 EOS *,2566111411.72,3.30,6.42,19.58
29,Monero,XMR,None,271.29,17973238 XMR,197636594.03,0.82,-0.65,0.11
30,FTX Token,FTT,None,50.20,94346958 FTT *,466994024.29,1.89,-0.77,12.33
