1,Bitcoin,BTC,None,39747.51,18776362 BTC,25372562723.91,0.08,4.18,-0.62
2,Ethereum,ETH,None,2724.62,116972577 ETH,25038698172.55,-0.16,8.88,18.64
3,Tether,USDT,None,1.00,62000121094 USDT *,55269578265.26,0.01,-0.02,0.00
4,Binance Coin,BNB,None,334.92,168137036 BNB *,1279262185.96,0.03,3.77,6.86
5,Cardano,ADA,None,1.38,32081191529 ADA,1899638009.19,-0.06,0.85,7.25
6,XRP,XRP,None,0.7305,46363275151 XRP *,2796312040.53,0.04,2.49,0.70
7,USD Coin,USDC,None,1.00,27497538885 USDC *,2835178250.62,0.00,-0.02,0.03
8,Dogecoin,DOGE,None,0.2015,130716630119 DOGE,1095300718.26,0.03,2.82,-1.90
9,Polkadot,DOT,None,19.16,980906419 DOT *,1596864082.17,0.38,10.53,31.81
10,Uniswap,UNI,None,23.53,587384468 UNI *,544646702.86,0.34,10.56,23.72
11,Binance USD,BUSD,None,1.00,11988640421 BUSD *,3947903949.94,0.00,-0.02,0.02
12,Chainlink,LINK,None,24.19,443009554 LINK *,1301126744.39,-0.04,1.31,27.11
13,Bitcoin Cash,BCH,None,545.97,18808494 BCH,1831281601.94,-0.22,1.67,7.02
14,Solana,SOL,None,35.76,272637428 SOL *,413657601.83,-0.55,5.20,28.57
15,Litecoin,LTC,None,142.62,66752615 LTC,1391008966.79,-0.09,3.13,1.99
16,Wrapped Bitcoin,WBTC,None,39804.08,193174 WBTC *,429572827.18,0.25,4.35,-0.47
17,Polygon,MATIC,None,1.05,6434735794 MATIC *,518285125.60,-0.42,3.33,3.67
18,Ethereum Classic,ETC,None,51.61,128755550 ETC,2136513799.94,0.28,4.54,4.97
19,Stellar,XLM,None,0.2804,23421507526 XLM *,480114859.72,0.00,2.26,4.25
20,THETA,THETA,None,6.07,1000000000 THETA *,254935122.07,-0.66,2.91,4.68
21,Terra,LUNA,None,14.51,414878903 LUNA *,787381881.08,-0.27,-1.40,32.34
22,Dai,DAI,None,1.00,5690873747 DAI *,499090740.53,-0.01,0.00,-0.03
23,VeChain,VET,None,0.08841,64315576989 VET *,603915555.72,0.13,4.09,7.09
24,Internet Computer,ICP,None,39.31,136899214 ICP *,172186966.76,-0.22,2.24,-3.34
25,Filecoin,FIL,None,56.45,94181989 FIL,444570015.43,-0.14,4.20,14.01
26,TRON,TRX,None,0.06739,71659657369 TRX *,855161196.78,0.12,5.43,11.36
27,Monero,XMR,None,244.97,17966656 XMR,217332184.39,1.16,8.78,4.33
28,Aave,AAVE,None,338.79,12933114 AAVE *,374285869.61,0.28,10.00,14.04
29,EOS,EOS,None,4.11,955775698 EOS *,831749386.39,-0.05,2.43,5.46
30,PancakeSwap,CAKE,None,17.54,205145258 CAKE *,449207334.56,-0.12,8.02,17.73
31,FTX Token,FTT,None,37.75,94346958 FTT *,75863474.17,-0.27,5.11,18.24
32,Crypto.com Coin,CRO,None,0.1262,25263013692 CRO *,32410574.39,-0.11,5.59,4.01
33,The Graph,GRT,None,0.6669,4715735200 GRT *,103866249.68,-0.25,3.61,19.55
34,Neo,NEO,None,43.52,70538831 NEO *,364450962.10,-0.46,5.31,26.58
35,Maker,MKR,None,2970.52,991328 MKR *,142286143.09,0.44,6.86,11.95
36,Bitcoin BEP2,BTCB,None,39879.97,73111 BTCB *,47373907.81,0.41,4.34,-0.43
37,UNUS SED LEO,LEO,None,3.00,953954130 LEO *,2052329.47,-0.07,0.25,-3.14
38,Cosmos,ATOM,None,12.79,219214491 ATOM *,162612241.05,0.34,5.78,10.63
39,Tezos,XTZ,None,3.18,854759231 XTZ *,86704502.12,0.87,4.26,13.48
40,Axie Infinity,AXS,None,43.83,60907500 AXS *,1643339528.05,0.72,14.58,-4.07
41,Klaytn,KLAY,None,1.08,2492664158 KLAY *,111099535.10,0.38,5.96,6.53
42,Algorand,ALGO,None,0.8278,3173732013 ALGO *,65385449.69,-0.21,1.35,-1.74
43,Bitcoin SV,BSV,None,139.67,18805808 BSV,311916871.90,-0.64,0.82,4.07
44,Amp,AMP,None,0.06166,42227702186 AMP *,46292593.53,-1.07,1.58,-20.07
45,Compound,COMP,None,464.45,5447197 COMP *,428590844.59,0.20,17.27,19.78
46,SHIBA INU,SHIB,None,0.00000624,394796000000000 SHIB *,204792385.73,0.30,1.24,0.80
47,IOTA,MIOTA,None,0.8761,2779530283 MIOTA *,33812484.77,-0.34,3.32,4.43
48,Avalanche,AVAX,None,13.68,173489786 AVAX *,66911765.31,0.37,9.15,11.61
49,Quant,QNT,None,178.44,12072738 QNT *,91245752.87,2.72,7.16,80.44
50,BitTorrent,BTT,None,0.003176,659952625000 BTT *,449328489.16,0.30,8.75,13.73
51,TerraUSD,UST,None,1.00,2050516609 UST *,39365121.28,-0.14,0.02,0.11
52,Hedera Hashgraph,HBAR,None,0.2179,9294752533 HBAR *,134829860.51,0.48,1.66,10.59
53,Elrond,EGLD,None,102.45,19243926 EGLD *,49758432.68,0.18,4.66,20.57
54,THORChain,RUNE,None,7.89,234399657 RUNE *,218089385.99,-1.19,15.98,69.40
55,Kusama,KSM,None,214.87,8470098 KSM *,123182124.59,0.60,6.98,14.47
56,Decred,DCR,None,136.22,13184508 DCR,25523496.16,0.50,7.65,-1.49
57,Huobi Token,HT,None,10.57,167856506 HT *,144655903.05,-0.18,4.14,-1.92
58,Waves,WAVES,None,16.28,105813862 WAVES *,86654806.84,0.38,1.65,4.37
59,Dash,DASH,None,161.37,10265999 DASH,281435788.44,0.22,3.35,5.81
