1,Bitcoin,BTC,None,54771.58,18840237 BTC,39527792363.58,-0.33,-0.36,13.63
2,Ethereum,ETH,None,3425.85,117875054 ETH,16171746693.48,-1.27,-4.19,0.22
3,Cardano,ADA,None,2.20,32038100544 ADA,2036732420.78,-1.29,-3.06,-2.47
4,Tether,USDT,None,1.00,68404570064 USDT *,69927661417.70,0.03,0.10,0.08
5,Binance Coin,BNB,None,405.07,168137036 BNB *,1437068557.80,-0.80,-3.91,-5.91
6,XRP,XRP,None,1.14,46805773456 XRP *,5165905722.91,-1.80,-1.85,7.89
7,Solana,SOL,None,148.05,299564177 SOL *,1556965340.96,-2.13,-5.60,-14.22
8,Polkadot,DOT,None,34.47,987579315 DOT *,1892396216.16,-1.54,-5.12,7.35
9,USD Coin,USDC,None,1.00,33154427990 USDC *,2553564242.67,0.02,0.07,0.09
10,Dogecoin,DOGE,None,0.2298,131637804279 DOGE,1466060853.16,-1.17,-6.81,3.63
11,Terra,LUNA,None,39.37,401944603 LUNA *,762535836.25,-1.20,-7.30,-7.88
12,Uniswap,UNI,None,24.25,611643724 UNI *,354545523.61,-1.46,-3.50,-6.74
13,Binance USD,BUSD,None,1.00,13182583775 BUSD *,4887973646.77,0.03,0.08,0.10
14,Avalanche,AVAX,None,56.59,220286577 AVAX *,450502943.37,-1.16,-6.56,-17.64
15,Litecoin,LTC,None,175.32,68720758 LTC,2933958270.42,-1.03,-2.42,2.76
16,Chainlink,LINK,None,25.65,458009554 LINK *,766870490.87,-1.28,-6.45,-6.93
17,Wrapped Bitcoin,WBTC,None,54837.97,208969 WBTC *,309630585.19,-0.26,-0.39,13.69
18,Bitcoin Cash,BCH,None,586.64,18868988 BCH,1215424338.36,-0.84,-4.53,2.83
19,Algorand,ALGO,None,1.77,6141018141 ALGO *,276716327.10,-1.80,-6.30,-10.88
20,SHIBA INU,SHIB,None,0.00002622,394796000000000 SHIB *,3597266431.27,-0.80,-1.83,207.02
21,Polygon,MATIC,None,1.25,6719001035 MATIC *,677169882.26,-1.70,-7.62,-5.83
22,Stellar,XLM,None,0.3325,23862599484 XLM *,587184999.58,-1.74,-5.77,5.53
23,Filecoin,FIL,None,69.88,111239709 FIL,994754810.36,-2.05,-8.90,1.16
24,Internet Computer,ICP,None,45.08,167115443 ICP *,339629059.22,-1.42,-9.03,-10.33
25,Cosmos,ATOM,None,32.51,222713351 ATOM *,507166672.89,-1.06,-7.68,-16.18
26,VeChain,VET,None,0.1109,64315576989 VET *,347024572.97,-1.66,-6.14,0.38
27,Axie Infinity,AXS,None,116.32,60907500 AXS *,467384770.95,-2.53,-8.08,-15.90
28,TRON,TRX,None,0.09775,71659657369 TRX *,1221386237.75,-1.18,-4.98,2.91
29,Ethereum Classic,ETC,None,53.04,130251514 ETC,810816148.10,-1.33,-4.59,-1.25
30,Dai,DAI,None,1.00,6474951714 DAI *,362865686.99,-0.01,-0.06,0.01
31,FTX Token,FTT,None,53.65,120455699 FTT *,175902025.60,-1.20,-4.10,-5.46
32,THETA,THETA,None,6.34,1000000000 THETA *,260297761.49,-1.62,-8.52,3.77
33,Tezos,XTZ,None,6.99,862697875 XTZ *,672742945.13,-1.91,-8.10,-19.66
34,Bitcoin BEP2,BTCB,None,54837.43,105119 BTCB *,38016380.75,-0.19,-0.41,13.98
35,Fantom,FTM,None,2.03,2545006273 FTM *,679695512.87,-2.33,-5.72,38.46
36,Hedera Hashgraph,HBAR,None,0.3435,14832756028 HBAR *,369347366.18,-1.72,-7.39,-14.23
37,Monero,XMR,None,270.70,18008855 XMR,146286899.87,-0.91,-2.71,4.51
38,Crypto.com Coin,CRO,None,0.1901,25263013692 CRO *,42136279.43,0.36,-2.05,4.18
39,Elrond,EGLD,None,240.62,19568840 EGLD *,112920473.68,-1.57,-6.99,-5.43
40,EOS,EOS,None,4.60,960351279 EOS *,1365516830.95,-1.02,-7.63,-0.83
41,PancakeSwap,CAKE,None,18.64,230697734 CAKE *,246905160.78,-0.72,-5.15,-5.29
